,Age,Attrition,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Non-Travel,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Human Resources,Department_Research & Development,Department_Sales,EducationField_Human Resources,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Female,Gender_Male,JobRole_Healthcare Representative,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Divorced,MaritalStatus_Married,MaritalStatus_Single,OverTime_No,OverTime_Yes
10,24,1,22,1,4,1,1,3,1555,1,11,3,3,1,1,2,3,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
11,35,0,10,4,1,3,2,3,6142,3,16,3,3,0,10,4,3,5,2,0,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
12,30,1,3,3,4,3,1,1,2657,5,11,3,3,0,8,5,3,5,2,0,4,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
13,54,0,8,4,3,3,2,3,3780,7,11,3,3,0,19,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
14,34,0,1,3,4,2,1,2,3294,5,17,3,1,1,7,2,2,5,4,0,2,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
15,47,0,2,4,4,2,1,4,3294,1,18,3,1,0,3,3,2,3,2,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
16,36,0,15,4,4,1,2,4,5406,1,24,4,1,1,15,4,2,15,12,11,11,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
17,35,0,1,4,4,2,1,3,2258,6,12,3,2,1,10,2,3,8,0,1,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
18,29,0,19,3,3,2,2,3,8620,1,14,3,3,2,10,3,3,10,7,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
19,56,1,14,4,2,3,1,2,4963,9,18,3,1,3,7,2,3,5,4,4,3,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
20,45,0,10,2,1,3,1,4,2654,3,21,4,4,2,8,3,2,2,2,0,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
21,46,0,1,4,4,3,3,1,9396,7,16,3,3,1,17,3,3,4,2,0,3,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
22,39,0,10,1,3,3,3,3,13464,7,21,4,3,0,9,3,3,4,3,2,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0
23,52,0,3,4,3,2,4,1,16856,1,11,3,1,0,34,3,4,34,6,1,16,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
24,32,0,1,3,3,2,1,2,2332,6,20,4,3,0,5,3,3,3,0,0,2,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
25,46,0,18,1,1,3,3,3,10527,5,11,3,4,0,28,3,2,2,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
26,28,0,17,2,3,3,2,1,4558,1,12,3,4,1,10,2,3,10,0,1,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
27,29,0,23,2,3,4,1,3,2700,1,24,4,3,1,10,3,3,10,7,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
28,39,0,24,1,2,2,4,4,12031,0,11,3,1,1,21,2,2,20,9,9,6,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
29,33,0,9,3,1,3,1,4,2781,0,13,3,2,1,15,5,3,14,10,4,10,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
30,38,0,3,3,1,3,3,3,10609,0,12,3,3,2,17,6,2,16,10,5,13,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
31,27,0,5,2,4,3,1,4,2379,0,14,3,3,0,6,3,2,5,4,0,2,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
32,19,1,1,1,3,1,1,1,2325,0,21,4,1,0,1,5,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
33,54,0,17,3,3,3,3,3,10739,8,11,3,3,1,22,2,3,10,7,0,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
34,53,0,23,4,4,3,4,4,14275,6,18,3,3,0,33,0,3,12,9,3,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
35,33,0,8,1,2,2,1,4,2342,0,19,3,4,0,3,2,2,2,2,2,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
36,29,0,2,3,1,2,2,2,6644,2,19,3,2,2,10,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
37,33,1,3,3,1,3,1,1,3348,1,11,3,1,0,10,3,3,10,8,9,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1
38,42,0,29,3,2,3,2,2,4434,1,13,3,4,1,10,3,2,9,8,7,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
39,34,0,10,4,4,2,2,3,5063,1,14,3,2,1,8,3,2,8,2,7,7,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
40,42,0,5,2,4,3,5,3,18303,6,13,3,2,0,21,3,4,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
41,26,0,1,3,3,3,2,3,5296,1,17,3,2,1,8,3,3,8,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
42,55,0,1,4,2,4,4,4,14732,2,13,3,4,2,31,4,4,7,7,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
43,50,1,1,4,2,3,2,3,6728,7,12,3,4,2,12,3,3,6,3,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
44,37,0,7,4,4,3,2,1,4284,5,22,4,3,1,16,2,3,5,3,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
45,45,0,26,3,1,2,2,1,4385,1,15,3,1,1,10,2,3,10,7,4,5,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
46,43,0,15,3,4,2,2,4,6804,3,18,3,3,1,7,5,3,2,2,2,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
47,39,1,5,3,4,3,2,4,2086,3,14,3,3,1,19,6,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
48,38,0,2,2,4,3,3,2,7351,7,16,3,3,0,10,2,3,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
49,31,0,1,4,3,3,1,2,2501,1,17,3,2,0,1,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
50,51,0,1,3,3,3,1,4,2723,1,11,3,2,0,1,0,2,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
51,36,0,1,3,3,1,3,1,10252,2,21,4,3,1,17,2,3,7,7,7,7,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
52,39,0,6,1,4,2,3,1,9991,4,15,3,1,1,9,5,3,7,7,1,7,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
53,32,0,24,4,1,3,2,4,5309,1,15,3,4,2,10,2,3,10,8,4,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
54,27,0,8,3,2,4,1,3,3517,7,17,3,1,0,5,0,3,3,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
55,39,0,9,3,4,3,5,4,19431,2,13,3,3,0,21,3,2,6,0,1,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
56,34,0,7,4,1,3,1,4,2972,1,13,3,3,0,1,4,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0
57,34,0,27,2,4,3,1,2,2311,2,15,3,4,0,9,3,3,3,2,1,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
58,43,0,16,3,4,3,4,4,16064,5,22,4,3,1,22,3,3,17,13,1,9,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
59,31,0,2,4,2,3,1,3,3477,1,14,3,4,1,6,2,4,5,2,0,3,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
60,31,1,6,4,2,1,2,3,6172,4,18,3,2,0,12,3,2,7,7,7,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
61,38,0,1,4,2,4,2,4,7625,0,13,3,3,0,10,4,2,9,7,1,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0
62,36,0,1,5,4,3,2,4,6653,4,15,3,2,0,7,6,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
63,42,0,24,3,4,3,3,1,7406,1,21,4,4,1,10,5,2,10,9,5,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1
64,43,0,26,2,3,3,4,4,16959,1,12,3,4,2,25,3,4,25,12,4,12,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1
65,36,0,3,4,1,2,3,4,9699,4,11,3,1,1,16,2,3,13,9,1,12,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
66,51,1,4,4,1,3,1,3,2461,9,12,3,3,3,18,2,4,10,0,2,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
67,51,0,2,3,2,3,3,2,10596,2,11,3,2,0,14,5,3,4,2,3,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
68,33,0,6,3,3,3,2,4,7725,3,23,4,3,1,15,2,1,13,11,4,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
69,25,0,2,3,3,3,1,2,2187,4,14,3,3,0,6,3,3,2,0,1,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
70,33,0,10,3,2,2,2,4,4682,3,14,3,3,0,9,6,2,7,7,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
71,42,0,13,3,2,4,2,1,5538,5,18,3,3,2,10,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
72,20,0,2,3,3,3,1,3,2783,1,19,3,1,0,2,3,3,2,2,2,2,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
73,42,0,2,1,3,3,1,3,2696,0,11,3,3,1,4,5,3,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1
74,41,0,3,3,3,2,2,2,8938,2,11,3,3,1,14,5,3,5,4,0,4,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
75,27,0,5,1,3,2,3,4,12808,1,16,3,2,1,9,3,3,9,8,0,8,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1
76,30,0,1,1,4,2,2,4,5126,1,12,3,3,2,10,1,2,10,8,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
77,30,0,5,4,2,2,1,4,3761,9,12,3,2,1,10,3,2,5,4,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
78,37,1,2,2,4,2,1,3,2090,6,15,3,2,0,7,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
79,24,0,21,2,3,2,1,1,2296,0,14,3,2,3,2,3,3,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
80,38,0,29,3,4,3,2,4,6261,3,18,3,1,1,9,3,1,7,7,1,7,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
81,56,0,8,4,4,3,5,2,19717,6,14,3,1,0,36,4,3,7,3,7,7,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0
82,32,0,4,3,3,2,2,3,6162,1,12,3,3,1,14,3,3,14,13,6,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
83,30,0,2,1,3,3,1,2,2476,1,18,3,1,1,1,3,3,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
84,38,0,9,2,3,3,1,4,2288,1,12,3,3,0,2,3,3,2,2,2,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
85,25,0,18,1,1,4,2,3,6232,2,11,3,2,0,6,3,2,3,2,1,2,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
86,39,0,1,3,4,3,2,4,6472,1,15,3,4,1,9,2,3,9,8,5,8,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
87,59,0,25,3,1,3,3,1,7637,7,11,3,4,0,28,3,2,21,16,7,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
88,30,0,8,2,3,3,3,3,7264,5,11,3,1,1,10,2,4,8,4,7,7,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0
89,56,0,6,3,3,4,4,1,13212,9,11,3,4,3,36,0,2,7,7,7,7,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
90,28,0,5,4,1,3,2,4,4908,1,14,3,2,0,4,3,3,4,2,0,2,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
91,38,0,6,4,1,2,2,3,5321,2,11,3,4,1,10,1,3,8,3,7,7,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
92,28,0,9,4,2,3,2,4,5253,1,16,3,4,0,7,1,3,7,5,0,7,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0
93,19,1,2,3,2,2,1,4,1102,1,22,4,3,0,1,3,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
94,34,0,7,4,1,3,3,2,11994,0,11,3,3,0,13,4,3,12,6,2,11,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
95,51,0,7,4,2,2,2,3,6132,2,17,3,3,0,10,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
96,32,0,10,3,1,3,1,3,3433,6,13,3,1,1,10,3,2,5,2,1,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
97,35,0,1,4,3,1,1,4,2977,1,12,3,4,1,4,5,3,4,3,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
98,59,0,2,4,3,2,5,4,18844,9,21,4,4,1,30,3,3,3,2,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
99,30,0,10,3,1,3,3,3,9667,9,14,3,2,0,9,3,3,7,7,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
100,29,0,4,3,4,2,1,1,2109,1,13,3,3,1,1,2,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
101,52,0,4,2,4,3,4,4,16555,2,13,3,4,0,31,2,1,5,2,1,4,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
102,36,0,3,2,4,3,1,2,2088,4,12,3,3,0,13,3,2,8,7,7,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
103,29,0,13,2,4,2,2,2,4025,4,13,3,1,1,10,2,3,4,3,0,3,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
104,35,0,18,5,2,4,2,1,5208,1,11,3,4,0,16,2,3,16,15,1,10,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
105,25,1,24,1,3,1,1,4,1118,1,14,3,4,0,1,4,3,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
106,54,0,19,4,4,3,2,1,5485,9,11,3,2,2,9,4,3,5,3,1,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
107,32,0,7,3,4,2,2,3,5484,1,14,3,3,1,13,3,2,13,8,4,8,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0
108,52,0,2,4,1,2,5,3,19068,1,18,3,4,0,33,2,4,33,7,15,12,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1
109,31,0,9,1,3,3,3,2,10648,1,25,4,4,1,13,6,4,13,8,0,8,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
110,19,1,10,3,1,2,1,2,1859,1,25,4,2,0,1,2,4,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
111,35,0,8,4,1,3,1,4,2572,1,16,3,2,1,3,1,2,3,2,0,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
112,27,0,15,3,4,2,1,1,4774,0,19,3,4,1,8,2,2,7,6,7,3,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
113,26,1,24,3,3,1,1,4,2340,1,18,3,2,0,1,3,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1
114,28,0,15,2,1,3,1,3,2207,1,16,3,4,1,4,5,2,4,2,2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
115,56,1,24,2,1,3,1,4,2587,1,16,3,4,0,5,3,3,4,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0
116,47,0,14,4,3,3,2,2,5467,8,18,3,3,1,16,4,4,8,7,1,7,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
117,40,1,25,4,4,2,3,2,9094,2,12,3,3,0,9,2,3,5,4,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1
118,31,0,4,3,1,4,1,3,3978,8,12,3,2,1,4,0,2,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
119,23,1,6,3,3,4,1,1,1601,1,21,4,3,2,1,2,3,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
120,33,0,2,3,2,3,1,3,3600,1,13,3,4,1,5,2,3,5,4,1,4,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0
121,27,0,2,2,1,4,2,3,6500,0,14,3,2,0,9,5,2,8,7,0,7,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0
122,43,0,2,3,4,3,2,4,7847,1,17,3,1,1,10,3,3,10,9,8,8,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
123,35,0,28,4,2,2,1,3,2430,0,23,4,1,2,6,5,3,5,3,4,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
124,40,0,5,4,4,2,3,1,10475,5,21,4,3,1,20,2,3,18,13,1,12,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1
125,36,0,18,4,1,3,2,4,7779,2,20,4,1,0,18,0,3,11,9,0,9,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0
126,30,0,1,2,3,3,2,4,4011,1,23,4,4,0,12,2,3,12,8,3,7,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
127,55,0,2,4,2,2,1,4,2662,8,20,4,2,1,19,2,4,5,2,0,4,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
